fecha,stock,open,high,low,close,volume,return_1d,volatility_5,ma_5,ma_10,target
2021-01-14,ARG,14000.0,14000.0,13600.0,11268.3154296875,156940,0.019665225637644612,0.018500473143453346,11147.5822265625,11114.96337890625,0
2021-01-15,ARG,14000.0,14100.0,13800.0,11268.3154296875,108784,0.0,0.012302003269348072,11179.7775390625,11130.84296875,0
2021-01-18,ARG,13900.0,13900.0,13670.0,11187.826171875,117277,-0.007142971663753994,0.013116855612483618,11195.875,11131.48046875,1
2021-01-19,ARG,13960.0,14000.0,13840.0,11236.1171875,46560,0.004316389518671526,0.012655518045177583,11202.3138671875,11144.140234375,0
2021-01-20,ARG,13900.0,13960.0,13840.0,11187.826171875,129726,-0.004297838374160312,0.01052843077258457,11229.680078125,11135.1869140625,0
2021-01-21,ARG,13830.0,13980.0,13700.0,11131.4833984375,131246,-0.005036078731643134,0.00458015332553517,11202.313671875,11174.94794921875,1
2021-01-22,ARG,13900.0,13950.0,13760.0,11187.826171875,107748,0.005061569192602811,0.005679508945428947,11186.2158203125,11182.9966796875,0
2021-01-25,ARG,13750.0,13900.0,13530.0,11067.095703125,85012,-0.010791235660552512,0.0067348818831546725,11162.0697265625,11178.97236328125,0
2021-01-26,ARG,13560.0,13860.0,13560.0,10914.1689453125,70965,-0.013818147228031874,0.00724593112458655,11097.680078125,11149.99697265625,1
2021-01-27,ARG,13570.0,13780.0,13360.0,10922.21484375,202769,0.0007371975344907522,0.00782917652629531,11044.5578125,11137.1189453125,1
2021-01-28,ARG,13740.0,13740.0,13400.0,11059.044921875,68158,0.012527686012631323,0.01098411099467657,11030.0701171875,11116.19189453125,0
2021-01-29,ARG,13300.0,13740.0,13270.0,10704.8974609375,524037,-0.03202333143949798,0.016689954644095208,10933.484375,11059.85009765625,0
2021-02-01,ARG,13300.0,13300.0,13300.0,10704.8974609375,0,0.0,0.0170416725734862,10861.0447265625,11011.5572265625,1
2021-02-02,ARG,13560.0,13560.0,13200.0,10914.1689453125,268053,0.019549134883228625,0.01978019066527825,10861.0447265625,10979.36240234375,0
2021-02-03,ARG,13420.0,13670.0,13380.0,10801.4833984375,188640,-0.01032470245234729,0.020310743865288458,10836.8984375,10940.728125,0
2021-02-04,ARG,13240.0,13350.0,13200.0,10656.6064453125,118250,-0.013412690440829378,0.018920269122468778,10756.4107421875,10893.2404296875,0
2021-02-05,ARG,13210.0,13400.0,13210.0,10632.4599609375,59425,-0.002265869955779487,0.012898366499004776,10741.9232421875,10837.70380859375,1
2021-02-08,ARG,13300.0,13400.0,13270.0,10704.8974609375,223113,0.006812863652073675,0.013418196225773112,10741.9232421875,10801.483984375,0
2021-02-09,ARG,13280.0,13610.0,13270.0,10688.798828125,263704,-0.001503856797437253,0.007979037573930566,10696.84921875,10778.94697265625,0
2021-02-10,ARG,13150.0,13450.0,13130.0,10584.1669921875,146099,-0.009788923677952144,0.007878155144678434,10653.3859375,10745.1421875,0
2021-02-11,ARG,13090.0,13240.0,13040.0,10535.8740234375,72718,-0.004562755745033731,0.006018222391683711,10629.239453125,10692.82509765625,1
2021-02-12,ARG,13280.0,13300.0,13010.0,10688.798828125,109654,0.014514676651155023,0.009617766577039753,10640.5072265625,10691.215234375,0
2021-02-15,ARG,13150.0,13350.0,13150.0,10584.1669921875,33287,-0.009788923677952144,0.010007844449020286,10616.3611328125,10679.1421875,0
2021-02-16,ARG,13110.0,13220.0,13000.0,10551.970703125,307803,-0.003041929429709933,0.010003737451080245,10588.9955078125,10642.92236328125,0
2021-02-17,ARG,13030.0,13200.0,13000.0,10487.580078125,82875,-0.006102236900727087,0.009456161420053325,10569.678125,10611.53203125,0
2021-02-18,ARG,12830.0,13090.0,12820.0,10326.6044921875,104308,-0.01534916393852026,0.011296403256027262,10527.82421875,10578.5318359375,0
2021-02-19,ARG,12640.0,13100.0,12640.0,10173.67578125,134770,-0.014809196096664423,0.005367231264478757,10424.799609375,10532.65341796875,1
2021-02-22,ARG,12840.0,12840.0,12500.0,10334.654296875,161526,0.015823043616318255,0.012664036083906115,10374.8970703125,10495.6291015625,0
2021-02-23,ARG,12780.0,12800.0,12600.0,10286.3623046875,186537,-0.004672821247838188,0.012631747734858789,10321.775390625,10455.38544921875,1
2021-02-24,ARG,12880.0,12990.0,12740.0,10366.8486328125,257908,0.007824566716682968,0.013814145673947582,10297.6291015625,10433.65361328125,0
2021-02-25,ARG,12780.0,12890.0,12700.0,10286.3623046875,86482,-0.007763818203175954,0.012353415814910262,10289.5806640625,10408.70244140625,1
2021-02-26,ARG,13300.0,13300.0,12500.0,10704.8974609375,128200,0.04068835452736019,0.01943282586018459,10395.825,10410.3123046875,0
2021-03-01,ARG,13060.0,13130.0,12900.0,10511.728515625,69353,-0.018044913182716504,0.02269069749332187,10431.23984375,10403.06845703125,0
2021-03-02,ARG,13000.0,13000.0,12700.0,10463.4365234375,93941,-0.004594105728255582,0.02268354349145947,10466.6546875,10394.2150390625,0
2021-03-03,ARG,12790.0,12880.0,12700.0,10294.4091796875,201529,-0.016154094629559634,0.024065590061549534,10452.166796875,10374.89794921875,0
2021-03-04,ARG,12500.0,12790.0,12450.0,10060.994140625,43204,-0.022673961660963027,0.025937324252374064,10407.0931640625,10348.3369140625,0
2021-03-05,ARG,12400.0,12500.0,12000.0,9980.505859375,191754,-0.008000032613576291,0.007427191900339909,10262.21484375,10329.019921875,1
2021-03-08,ARG,12430.0,12450.0,12200.0,10004.6533203125,56008,0.002419462628221236,0.009820512850659088,10160.7998046875,10296.01982421875,1
2021-03-09,ARG,12580.0,12580.0,12310.0,10125.384765625,273325,0.012067529123410914,0.013976351259096057,10093.189453125,10279.9220703125,1
